# ---------------------------------- WARNING ----------------------------------------								
# Some of the data that you have obtained from this U.S. Geological Survey database								
# may not have received Director's approval. Any such data values are qualified								
# as provisional and are subject to revision. Provisional data are released on the								
# condition that neither the USGS nor the United States Government may be held liable								
# for any damages resulting from its use.								
#								
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement								
#								
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output								
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals								
#								
# Contact:   gs-w_support_nwisweb@usgs.gov								
# retrieved: 2021-04-04 23:16:06 EDT       (caww01)								
#								
# Data for the following 1 site(s) are contained in this file								
"#    USGS 02087500 NEUSE RIVER NEAR CLAYTON, NC"								
# -----------------------------------------------------------------------------------								
agency_cd	site_no	datetime	" Discharge, cubic feet per second (Maximum)"	"Discharge, cubic feet per second (Minimum)"	"Discharge, cubic feet per second (Minimum)"	"Gage height, feet (Maximum)"	"Gage height, feet (Minimum)"	" Gage height, feet (Mean)"
USGS	2087500	10/1/1927			205			
USGS	2087500	10/2/1927			192			
USGS	2087500	10/3/1927			205			
USGS	2087500	10/4/1927			405			
USGS	2087500	10/5/1927			346			
USGS	2087500	10/6/1927			366			
USGS	2087500	10/7/1927			385			
USGS	2087500	10/8/1927			290			
USGS	2087500	10/9/1927			996			
USGS	2087500	10/10/1927			1950			
USGS	2087500	10/11/1927			1950			
USGS	2087500	10/12/1927			1250			
USGS	2087500	10/13/1927			1690			
USGS	2087500	10/14/1927			2800			
USGS	2087500	10/15/1927			2500			
USGS	2087500	10/16/1927			1190			
USGS	2087500	10/17/1927			805			
USGS	2087500	10/18/1927			704			
USGS	2087500	10/19/1927			654			
USGS	2087500	10/20/1927			630			
USGS	2087500	10/21/1927			557			
USGS	2087500	10/22/1927			446			
USGS	2087500	10/23/1927			385			
USGS	2087500	10/24/1927			346			
USGS	2087500	10/25/1927			346			
USGS	2087500	10/26/1927			327			
USGS	2087500	10/27/1927			346			
USGS	2087500	10/28/1927			270			
USGS	2087500	10/29/1927			270			
USGS	2087500	10/30/1927			220			
USGS	2087500	10/31/1927			205			
USGS	2087500	11/1/1927			235			
USGS	2087500	11/2/1927			220			
USGS	2087500	11/3/1927			220			
USGS	2087500	11/4/1927			252			
USGS	2087500	11/5/1927			270			
USGS	2087500	11/6/1927			235			
USGS	2087500	11/7/1927			220			
USGS	2087500	11/8/1927			252			
USGS	2087500	11/9/1927			270			
USGS	2087500	11/10/1927			290			
USGS	2087500	11/11/1927			346			
USGS	2087500	11/12/1927			327			
USGS	2087500	11/13/1927			327			
USGS	2087500	11/14/1927			290			
USGS	2087500	11/15/1927			366			
USGS	2087500	11/16/1927			346			
USGS	2087500	11/17/1927			412			
USGS	2087500	11/18/1927			605			
USGS	2087500	11/19/1927			489			
USGS	2087500	11/20/1927			910			
USGS	2087500	11/21/1927			605			
USGS	2087500	11/22/1927			405			
USGS	2087500	11/23/1927			346			
USGS	2087500	11/24/1927			327			
USGS	2087500	11/25/1927			290			
USGS	2087500	11/26/1927			290			
USGS	2087500	11/27/1927			270			
USGS	2087500	11/28/1927			235			
USGS	2087500	11/29/1927			308			
USGS	2087500	11/30/1927			290			
USGS	2087500	12/1/1927			308			
USGS	2087500	12/2/1927			704			
USGS	2087500	12/3/1927			1560			
USGS	2087500	12/4/1927			5260			
USGS	2087500	12/5/1927			8340			
USGS	2087500	12/6/1927			7180			
USGS	2087500	12/7/1927			5440			
USGS	2087500	12/8/1927			4950			
USGS	2087500	12/9/1927			4020			
USGS	2087500	12/10/1927			3020			
USGS	2087500	12/11/1927			1760			
USGS	2087500	12/12/1927			1310			
USGS	2087500	12/13/1927			1130			
USGS	2087500	12/14/1927			1080			
USGS	2087500	12/15/1927			1080			
USGS	2087500	12/16/1927			1710			
USGS	2087500	12/17/1927			5040			
USGS	2087500	12/18/1927			4570			
USGS	2087500	12/19/1927			4480			
USGS	2087500	12/20/1927			2800			
USGS	2087500	12/21/1927			1430			
USGS	2087500	12/22/1927			1190			
USGS	2087500	12/23/1927			1080			
USGS	2087500	12/24/1927			964			
USGS	2087500	12/25/1927			910			
USGS	2087500	12/26/1927			857			
USGS	2087500	12/27/1927			754			
USGS	2087500	12/28/1927			704			
USGS	2087500	12/29/1927			754			
USGS	2087500	12/30/1927			805			
USGS	2087500	12/31/1927			857			
USGS	2087500	1/1/1928			1080			
USGS	2087500	1/2/1928			1130			
USGS	2087500	1/3/1928			1020			
USGS	2087500	1/4/1928			857			
USGS	2087500	1/5/1928			754			
USGS	2087500	1/6/1928			805			
USGS	2087500	1/7/1928			654			
USGS	2087500	1/8/1928			605			
USGS	2087500	1/9/1928			654			
USGS	2087500	1/10/1928			805			
USGS	2087500	1/11/1928			964			
USGS	2087500	1/12/1928			910			
USGS	2087500	1/13/1928			805			
USGS	2087500	1/14/1928			704			
USGS	2087500	1/15/1928			654			
USGS	2087500	1/16/1928			630			
USGS	2087500	1/17/1928			581			
USGS	2087500	1/18/1928			581			
USGS	2087500	1/19/1928			581			
USGS	2087500	1/20/1928			630			
USGS	2087500	1/21/1928			704			
USGS	2087500	1/22/1928			857			
USGS	2087500	1/23/1928			704			
USGS	2087500	1/24/1928			605			
USGS	2087500	1/25/1928			654			
USGS	2087500	1/26/1928			964			
USGS	2087500	1/27/1928			1310			
USGS	2087500	1/28/1928			964			
USGS	2087500	1/29/1928			805			
USGS	2087500	1/30/1928			704			
USGS	2087500	1/31/1928			1190			
USGS	2087500	2/1/1928			654			
USGS	2087500	2/2/1928			754			
USGS	2087500	2/3/1928			1310			
USGS	2087500	2/4/1928			1250			
USGS	2087500	2/5/1928			964			
USGS	2087500	2/6/1928			910			
USGS	2087500	2/7/1928			910			
USGS	2087500	2/8/1928			1080			
USGS	2087500	2/9/1928			2140			
USGS	2087500	2/10/1928			3180			
USGS	2087500	2/11/1928			3180			
USGS	2087500	2/12/1928			1760			
USGS	2087500	2/13/1928			1250			
USGS	2087500	2/14/1928			1080			
USGS	2087500	2/15/1928			1080			
USGS	2087500	2/16/1928			1130			
USGS	2087500	2/17/1928			1190			
USGS	2087500	2/18/1928			1190			
USGS	2087500	2/19/1928			1370			
USGS	2087500	2/20/1928			1370			
USGS	2087500	2/21/1928			1190			
USGS	2087500	2/22/1928			1080			
USGS	2087500	2/23/1928			3020			
USGS	2087500	2/24/1928			3840			
USGS	2087500	2/25/1928			2580			
USGS	2087500	2/26/1928			1760			
USGS	2087500	2/27/1928			1310			
USGS	2087500	2/28/1928			1190			
USGS	2087500	2/29/1928			1080			
USGS	2087500	3/1/1928			1080			
USGS	2087500	3/2/1928			964			
USGS	2087500	3/3/1928			910			
USGS	2087500	3/4/1928			754			
USGS	2087500	3/5/1928			704			
USGS	2087500	3/6/1928			654			
USGS	2087500	3/7/1928			605			
USGS	2087500	3/8/1928			605			
USGS	2087500	3/9/1928			630			
USGS	2087500	3/10/1928			857			
USGS	2087500	3/11/1928			1250			
USGS	2087500	3/12/1928			1310			
USGS	2087500	3/13/1928			1250			
USGS	2087500	3/14/1928			1190			
USGS	2087500	3/15/1928			1020			
USGS	2087500	3/16/1928			910			
USGS	2087500	3/17/1928			1310			
USGS	2087500	3/18/1928			3090			
USGS	2087500	3/19/1928			4110			
USGS	2087500	3/20/1928			4020			
USGS	2087500	3/21/1928			3500			
USGS	2087500	3/22/1928			1820			
USGS	2087500	3/23/1928			1310			
USGS	2087500	3/24/1928			1190			
USGS	2087500	3/25/1928			1080			
USGS	2087500	3/26/1928			1080			
USGS	2087500	3/27/1928			1080			
USGS	2087500	3/28/1928			1080			
USGS	2087500	3/29/1928			1080			
USGS	2087500	3/30/1928			1020			
USGS	2087500	3/31/1928			964			
USGS	2087500	4/1/1928			805			
USGS	2087500	4/2/1928			704			
USGS	2087500	4/3/1928			654			
USGS	2087500	4/4/1928			630			
USGS	2087500	4/5/1928			605			
USGS	2087500	4/6/1928			605			
USGS	2087500	4/7/1928			605			
USGS	2087500	4/8/1928			605			
USGS	2087500	4/9/1928			581			
USGS	2087500	4/10/1928			1020			
USGS	2087500	4/11/1928			2070			
USGS	2087500	4/12/1928			4210			
USGS	2087500	4/13/1928			4020			
USGS	2087500	4/14/1928			3420			
USGS	2087500	4/15/1928			1870			
USGS	2087500	4/16/1928			1690			
USGS	2087500	4/17/1928			1760			
USGS	2087500	4/18/1928			1560			
USGS	2087500	4/19/1928			1310			
USGS	2087500	4/20/1928			1190			
USGS	2087500	4/21/1928			1130			
USGS	2087500	4/22/1928			1080			
USGS	2087500	4/23/1928			1430			
USGS	2087500	4/24/1928			1560			
USGS	2087500	4/25/1928			1880			
USGS	2087500	4/26/1928			1690			
USGS	2087500	4/27/1928			1420			
USGS	2087500	4/28/1928			4680			
USGS	2087500	4/29/1928			7490			
USGS	2087500	4/30/1928			7280			
USGS	2087500	5/1/1928			8560			
USGS	2087500	5/2/1928			9330			
USGS	2087500	5/3/1928			8100			
USGS	2087500	5/4/1928			3780			
USGS	2087500	5/5/1928			1240			
USGS	2087500	5/6/1928			1010			
USGS	2087500	5/7/1928			899			
USGS	2087500	5/8/1928			792			
USGS	2087500	5/9/1928			1180			
USGS	2087500	5/10/1928			1120			
USGS	2087500	5/11/1928			1010			
USGS	2087500	5/12/1928			845			
USGS	2087500	5/13/1928			636			
USGS	2087500	5/14/1928			538			
USGS	2087500	5/15/1928			468			
USGS	2087500	5/16/1928			468			
USGS	2087500	5/17/1928			468			
USGS	2087500	5/18/1928			468			
USGS	2087500	5/19/1928			792			
USGS	2087500	5/20/1928			1060			
USGS	2087500	5/21/1928			899			
USGS	2087500	5/22/1928			739			
USGS	2087500	5/23/1928			636			
USGS	2087500	5/24/1928			538			
USGS	2087500	5/25/1928			636			
USGS	2087500	5/26/1928			1060			
USGS	2087500	5/27/1928			1010			
USGS	2087500	5/28/1928			845			
USGS	2087500	5/29/1928			792			
USGS	2087500	5/30/1928			792			
USGS	2087500	5/31/1928			687			
USGS	2087500	6/1/1928			491			
USGS	2087500	6/2/1928			446			
USGS	2087500	6/3/1928			424			
USGS	2087500	6/4/1928			1180			
USGS	2087500	6/5/1928			2150			
USGS	2087500	6/6/1928			3590			
USGS	2087500	6/7/1928			4240			
USGS	2087500	6/8/1928			2670			
USGS	2087500	6/9/1928			1180			
USGS	2087500	6/10/1928			845			
USGS	2087500	6/11/1928			1010			
USGS	2087500	6/12/1928			1740			
USGS	2087500	6/13/1928			1120			
USGS	2087500	6/14/1928			953			
USGS	2087500	6/15/1928			792			
USGS	2087500	6/16/1928			687			
USGS	2087500	6/17/1928			514			
USGS	2087500	6/18/1928			424			
USGS	2087500	6/19/1928			402			
USGS	2087500	6/20/1928			362			
USGS	2087500	6/21/1928			308			
USGS	2087500	6/22/1928			362			
USGS	2087500	6/23/1928			491			
USGS	2087500	6/24/1928			468			
USGS	2087500	6/25/1928			402			
USGS	2087500	6/26/1928			382			
USGS	2087500	6/27/1928			382			
USGS	2087500	6/28/1928			687			
USGS	2087500	6/29/1928			514			
USGS	2087500	6/30/1928			1060			
USGS	2087500	7/1/1928			899			
USGS	2087500	7/2/1928			491			
USGS	2087500	7/3/1928			424			
USGS	2087500	7/4/1928			362			
USGS	2087500	7/5/1928			325			
USGS	2087500	7/6/1928			291			
USGS	2087500	7/7/1928			275			
USGS	2087500	7/8/1928			215			
USGS	2087500	7/9/1928			188			
USGS	2087500	7/10/1928			291			
USGS	2087500	7/11/1928			424			
USGS	2087500	7/12/1928			402			
USGS	2087500	7/13/1928			424			
USGS	2087500	7/14/1928			739			
USGS	2087500	7/15/1928			1610			
USGS	2087500	7/16/1928			1870			
USGS	2087500	7/17/1928			1420			
USGS	2087500	7/18/1928			1010			
USGS	2087500	7/19/1928			636			
USGS	2087500	7/20/1928			382			
USGS	2087500	7/21/1928			291			
USGS	2087500	7/22/1928			201			
USGS	2087500	7/23/1928			164			
USGS	2087500	7/24/1928			325			
USGS	2087500	7/25/1928			402			
USGS	2087500	7/26/1928			899			
USGS	2087500	7/27/1928			953			
USGS	2087500	7/28/1928			562			
USGS	2087500	7/29/1928			275			
USGS	2087500	7/30/1928			201			
USGS	2087500	7/31/1928			201			
USGS	2087500	8/1/1928			175			
USGS	2087500	8/2/1928			142			
USGS	2087500	8/3/1928			114			
USGS	2087500	8/4/1928			123			
USGS	2087500	8/5/1928			114			
USGS	2087500	8/6/1928			132			
USGS	2087500	8/7/1928			188			
USGS	2087500	8/8/1928			175			
USGS	2087500	8/9/1928			725			
USGS	2087500	8/10/1928			687			
USGS	2087500	8/11/1928			845			
USGS	2087500	8/12/1928			792			
USGS	2087500	8/13/1928			586			
USGS	2087500	8/14/1928			739			
USGS	2087500	8/15/1928			491			
USGS	2087500	8/16/1928			3580			
USGS	2087500	8/17/1928			3580			
USGS	2087500	8/18/1928			3600			
USGS	2087500	8/19/1928			3580			
USGS	2087500	8/20/1928			3580			
USGS	2087500	8/21/1928			3580			
USGS	2087500	8/22/1928			1940			
USGS	2087500	8/23/1928			1930			
USGS	2087500	8/24/1928			1930			
USGS	2087500	8/25/1928			1930			
USGS	2087500	8/26/1928			2360			
USGS	2087500	8/27/1928			2360			
USGS	2087500	8/28/1928			2360			
USGS	2087500	8/29/1928			2360			
USGS	2087500	8/30/1928			550			
USGS	2087500	8/31/1928			540			
USGS	2087500	9/1/1928			540			
USGS	2087500	9/2/1928			540			
USGS	2087500	9/3/1928			8900			
USGS	2087500	9/4/1928			8900			
USGS	2087500	9/5/1928			8900			
USGS	2087500	9/6/1928			8900			
USGS	2087500	9/7/1928			8900			
USGS	2087500	9/8/1928			8900			
USGS	2087500	9/9/1928			8900			
USGS	2087500	9/10/1928			8900			
USGS	2087500	9/11/1928			8900			
USGS	2087500	9/12/1928			8900			
USGS	2087500	9/13/1928			1500			
USGS	2087500	9/14/1928			1500			
USGS	2087500	9/15/1928			1500			
USGS	2087500	9/16/1928			1500			
USGS	2087500	9/17/1928			1500			
USGS	2087500	9/18/1928			1500			
USGS	2087500	9/19/1928			11700			
USGS	2087500	9/20/1928			11700			
USGS	2087500	9/21/1928			11800			
USGS	2087500	9/22/1928			11700			
USGS	2087500	9/23/1928			11700			
USGS	2087500	9/24/1928			9780			
USGS	2087500	9/25/1928			8120			
USGS	2087500	9/26/1928			3160			
USGS	2087500	9/27/1928			1240			
USGS	2087500	9/28/1928			1010			
USGS	2087500	9/29/1928			1010			
USGS	2087500	9/30/1928			1120			
USGS	2087500	10/1/1928			1420			
USGS	2087500	10/2/1928			1060			
USGS	2087500	10/3/1928			953			
USGS	2087500	10/4/1928			792			
USGS	2087500	10/5/1928			739			
USGS	2087500	10/6/1928			687			
USGS	2087500	10/7/1928			1360			
USGS	2087500	10/8/1928			1870			
USGS	2087500	10/9/1928			1420			
USGS	2087500	10/10/1928			953			
USGS	2087500	10/11/1928			739			
USGS	2087500	10/12/1928			636			
USGS	2087500	10/13/1928			586			
USGS	2087500	10/14/1928			562			
USGS	2087500	10/15/1928			538			
USGS	2087500	10/16/1928			538			
USGS	2087500	10/17/1928			538			
USGS	2087500	10/18/1928			514			
USGS	2087500	10/19/1928			514			
USGS	2087500	10/20/1928			514			
USGS	2087500	10/21/1928			468			
USGS	2087500	10/22/1928			446			
USGS	2087500	10/23/1928			446			
USGS	2087500	10/24/1928			562			
USGS	2087500	10/25/1928			538			
USGS	2087500	10/26/1928			514			
USGS	2087500	10/27/1928			491			
USGS	2087500	10/28/1928			446			
USGS	2087500	10/29/1928			446			
USGS	2087500	10/30/1928			424			
USGS	2087500	10/31/1928			491			
USGS	2087500	11/1/1928			538			
USGS	2087500	11/2/1928			491			
USGS	2087500	11/3/1928			514			
USGS	2087500	11/4/1928			514			
USGS	2087500	11/5/1928			514			
USGS	2087500	11/6/1928			446			
USGS	2087500	11/7/1928			424			
USGS	2087500	11/8/1928			424			
USGS	2087500	11/9/1928			446			
USGS	2087500	11/10/1928			446			
USGS	2087500	11/11/1928			468			
USGS	2087500	11/12/1928			446			
USGS	2087500	11/13/1928			424			
USGS	2087500	11/14/1928			382			
USGS	2087500	11/15/1928			402			
USGS	2087500	11/16/1928			402			
USGS	2087500	11/17/1928			402			
USGS	2087500	11/18/1928			382			
USGS	2087500	11/19/1928			446			
USGS	2087500	11/20/1928			586			
USGS	2087500	11/21/1928			424			
USGS	2087500	11/22/1928			424			
USGS	2087500	11/23/1928			446			
USGS	2087500	11/24/1928			424			
USGS	2087500	11/25/1928			402			
USGS	2087500	11/26/1928			382			
USGS	2087500	11/27/1928			402			
USGS	2087500	11/28/1928			382			
USGS	2087500	11/29/1928			402			
USGS	2087500	11/30/1928			402			
USGS	2087500	12/1/1928			424			
USGS	2087500	12/2/1928			446			
USGS	2087500	12/3/1928			446			
USGS	2087500	12/4/1928			424			
USGS	2087500	12/5/1928			402			
USGS	2087500	12/6/1928			402			
USGS	2087500	12/7/1928			402			
USGS	2087500	12/8/1928			402			
USGS	2087500	12/9/1928			362			
USGS	2087500	12/10/1928			362			
USGS	2087500	12/11/1928			402			
USGS	2087500	12/12/1928			362			
USGS	2087500	12/13/1928			362			
USGS	2087500	12/14/1928			402			
USGS	2087500	12/15/1928			586			
USGS	2087500	12/16/1928			468			
USGS	2087500	12/17/1928			446			
USGS	2087500	12/18/1928			446			
USGS	2087500	12/19/1928			446			
USGS	2087500	12/20/1928			424			
USGS	2087500	12/21/1928			491			
USGS	2087500	12/22/1928			468			
USGS	2087500	12/23/1928			402			
USGS	2087500	12/24/1928			382			
USGS	2087500	12/25/1928			362			
USGS	2087500	12/26/1928			362			
USGS	2087500	12/27/1928			344			
USGS	2087500	12/28/1928			325			
USGS	2087500	12/29/1928			325			
USGS	2087500	12/30/1928			325			
USGS	2087500	12/31/1928			325			
USGS	2087500	1/1/1929			344			
USGS	2087500	1/2/1929			325			
USGS	2087500	1/3/1929			325			
USGS	2087500	1/4/1929			308			
USGS	2087500	1/5/1929			308			
USGS	2087500	1/6/1929			491			
USGS	2087500	1/7/1929			491			
USGS	2087500	1/8/1929			424			
USGS	2087500	1/9/1929			382			
USGS	2087500	1/10/1929			446			
USGS	2087500	1/11/1929			538			
USGS	2087500	1/12/1929			772			
USGS	2087500	1/13/1929			953			
USGS	2087500	1/14/1929			792			
USGS	2087500	1/15/1929			687			
USGS	2087500	1/16/1929			586			
USGS	2087500	1/17/1929			586			
USGS	2087500	1/18/1929			538			
USGS	2087500	1/19/1929			491			
USGS	2087500	1/20/1929			446			
USGS	2087500	1/21/1929			446			
USGS	2087500	1/22/1929			424			
USGS	2087500	1/23/1929			402			
USGS	2087500	1/24/1929			382			
USGS	2087500	1/25/1929			402			
USGS	2087500	1/26/1929			402			
USGS	2087500	1/27/1929			402			
USGS	2087500	1/28/1929			446			
USGS	2087500	1/29/1929			446			
USGS	2087500	1/30/1929			424			
USGS	2087500	1/31/1929			446			
USGS	2087500	2/1/1929			424			
USGS	2087500	2/2/1929			402			
USGS	2087500	2/3/1929			382			
USGS	2087500	2/4/1929			362			
USGS	2087500	2/5/1929			382			
USGS	2087500	2/6/1929			382			
USGS	2087500	2/7/1929			636			
USGS	2087500	2/8/1929			687			
USGS	2087500	2/9/1929			687			
USGS	2087500	2/10/1929			899			
USGS	2087500	2/11/1929			1060			
USGS	2087500	2/12/1929			1060			
USGS	2087500	2/13/1929			845			
USGS	2087500	2/14/1929			687			
USGS	2087500	2/15/1929			687			
USGS	2087500	2/16/1929			1600			
USGS	2087500	2/17/1929			3080			
USGS	2087500	2/18/1929			2800			
USGS	2087500	2/19/1929			2040			
USGS	2087500	2/20/1929			1300			
USGS	2087500	2/21/1929			1480			
USGS	2087500	2/22/1929			2670			
USGS	2087500	2/23/1929			2910			
USGS	2087500	2/24/1929			2830			
USGS	2087500	2/25/1929			2370			
USGS	2087500	2/26/1929			1730			
USGS	2087500	2/27/1929			4240			
USGS	2087500	2/28/1929			8220			
USGS	2087500	3/1/1929			10600			
USGS	2087500	3/2/1929			10100			
USGS	2087500	3/3/1929			9000			
USGS	2087500	3/4/1929			9670			
USGS	2087500	3/5/1929			11500			
USGS	2087500	3/6/1929			13400			
USGS	2087500	3/7/1929			11800			
USGS	2087500	3/8/1929			9550			
USGS	2087500	3/9/1929			9330			
USGS	2087500	3/10/1929			8560			
USGS	2087500	3/11/1929			5410			
USGS	2087500	3/12/1929			1600			
USGS	2087500	3/13/1929			1300			
USGS	2087500	3/14/1929			1240			
USGS	2087500	3/15/1929			1870			
USGS	2087500	3/16/1929			4170			
USGS	2087500	3/17/1929			4040			
USGS	2087500	3/18/1929			3770			
USGS	2087500	3/19/1929			2020			
USGS	2087500	3/20/1929			1420			
USGS	2087500	3/21/1929			1240			
USGS	2087500	3/22/1929			1540			
USGS	2087500	3/23/1929			1540			
USGS	2087500	3/24/1929			2150			
USGS	2087500	3/25/1929			2750			
USGS	2087500	3/26/1929			2750			
USGS	2087500	3/27/1929			1740			
USGS	2087500	3/28/1929			1360			
USGS	2087500	3/29/1929			1120			
USGS	2087500	3/30/1929			1120			
USGS	2087500	3/31/1929			1240			
USGS	2087500	4/1/1929			1240			
USGS	2087500	4/2/1929			1180			
USGS	2087500	4/3/1929			1010			
USGS	2087500	4/4/1929			1010			
USGS	2087500	4/5/1929			953			
USGS	2087500	4/6/1929			899			
USGS	2087500	4/7/1929			899			
USGS	2087500	4/8/1929			845			
USGS	2087500	4/9/1929			739			
USGS	2087500	4/10/1929			636			
USGS	2087500	4/11/1929			636			
USGS	2087500	4/12/1929			845			
USGS	2087500	4/13/1929			899			
USGS	2087500	4/14/1929			792			
USGS	2087500	4/15/1929			739			
USGS	2087500	4/16/1929			2460			
USGS	2087500	4/17/1929			4240			
USGS	2087500	4/18/1929			4330			
USGS	2087500	4/19/1929			4520			
USGS	2087500	4/20/1929			3080			
USGS	2087500	4/21/1929			1240			
USGS	2087500	4/22/1929			1060			
USGS	2087500	4/23/1929			953			
USGS	2087500	4/24/1929			953			
USGS	2087500	4/25/1929			899			
USGS	2087500	4/26/1929			899			
USGS	2087500	4/27/1929			845			
USGS	2087500	4/28/1929			845			
USGS	2087500	4/29/1929			953			
USGS	2087500	4/30/1929			1560			
USGS	2087500	5/1/1929			1420			
USGS	2087500	5/2/1929			1060			
USGS	2087500	5/3/1929			1120			
USGS	2087500	5/4/1929			1480			
USGS	2087500	5/5/1929			1120			
USGS	2087500	5/6/1929			899			
USGS	2087500	5/7/1929			1060			
USGS	2087500	5/8/1929			1360			
USGS	2087500	5/9/1929			2320			
USGS	2087500	5/10/1929			3460			
USGS	2087500	5/11/1929			2440			
USGS	2087500	5/12/1929			1610			
USGS	2087500	5/13/1929			1120			
USGS	2087500	5/14/1929			953			
USGS	2087500	5/15/1929			899			
USGS	2087500	5/16/1929			739			
USGS	2087500	5/17/1929			586			
USGS	2087500	5/18/1929			586			
USGS	2087500	5/19/1929			586			
USGS	2087500	5/20/1929			792			
USGS	2087500	5/21/1929			2550			
USGS	2087500	5/22/1929			5520			
USGS	2087500	5/23/1929			2970			
USGS	2087500	5/24/1929			1420			
USGS	2087500	5/25/1929			1010			
USGS	2087500	5/26/1929			792			
USGS	2087500	5/27/1929			687			
USGS	2087500	5/28/1929			636			
USGS	2087500	5/29/1929			792			
USGS	2087500	5/30/1929			1610			
USGS	2087500	5/31/1929			1120			
USGS	2087500	6/1/1929			953			
USGS	2087500	6/2/1929			739			
USGS	2087500	6/3/1929			687			
USGS	2087500	6/4/1929			687			
USGS	2087500	6/5/1929			687			
USGS	2087500	6/6/1929			636			
USGS	2087500	6/7/1929			562			
USGS	2087500	6/8/1929			514			
USGS	2087500	6/9/1929			1100			
USGS	2087500	6/10/1929			2750			
USGS	2087500	6/11/1929			3420			
USGS	2087500	6/12/1929			2220			
USGS	2087500	6/13/1929			1120			
USGS	2087500	6/14/1929			953			
USGS	2087500	6/15/1929			899			
USGS	2087500	6/16/1929			3070			
USGS	2087500	6/17/1929			2670			
USGS	2087500	6/18/1929			1360			
USGS	2087500	6/19/1929			1610			
USGS	2087500	6/20/1929			1180			
USGS	2087500	6/21/1929			792			
USGS	2087500	6/22/1929			636			
USGS	2087500	6/23/1929			636			
USGS	2087500	6/24/1929			636			
USGS	2087500	6/25/1929			1010			
USGS	2087500	6/26/1929			1010			
USGS	2087500	6/27/1929			1060			
USGS	2087500	6/28/1929			3820			
USGS	2087500	6/29/1929			4910			
USGS	2087500	6/30/1929			5840			
USGS	2087500	7/1/1929			5420			
USGS	2087500	7/2/1929			6360			
USGS	2087500	7/3/1929			6200			
USGS	2087500	7/4/1929			2690			
